Page ID,Party,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library,valid_adds
160488060781842,VVD,VVD Olst-Wijhe,These ads ran without a disclaimer,100,2,yes
162212757160066,VVD,VVD Zoetermeer,These ads ran without a disclaimer,100,1,yes
167597420073347,VVD,VVD Helmond,These ads ran without a disclaimer,100,1,yes
169065999840857,VVD,VVD Haarlem,These ads ran without a disclaimer,100,2,yes
169065999840857,VVD,VVD Haarlem,VVD Haarlem,100,1,no
169783746552665,VVD,VVD Bunnik,Fred Schenk,100,1,no
170264783021544,VVD,VVD Hilvarenbeek,These ads ran without a disclaimer,100,6,yes
170264783021544,VVD,VVD Hilvarenbeek,VVD Hilvarenbeek,100,2,no
170320339747730,VVD,Koggenlandse VVD,These ads ran without a disclaimer,100,8,yes
1743766155846128,VVD,VVD Maasland,VVD Maasland,100,3,no
1788767758074479,VVD,VVD Rhenen,These ads ran without a disclaimer,100,1,yes
183495805173455,VVD,VVD-Woudenberg,These ads ran without a disclaimer,100,3,yes
183538275059926,VVD,Almeerse VVD,de Almeerse VVD,100,5,no
183538275059926,VVD,Almeerse VVD,These ads ran without a disclaimer,100,1,yes
187680031329594,VVD,VVD Zwartewaterland,Simon Tol,100,5,no
190006687752310,VVD,VVD Amstelveen,VVD Amstelveen,100,2,no
194216524014233,VVD,VVD Zwolle,These ads ran without a disclaimer,100,3,yes
194900893890599,VVD,Bossche VVD,These ads ran without a disclaimer,100,3,yes
196419123885680,VVD,VVD De Bilt,These ads ran without a disclaimer,100,2,yes
197238087060916,VVD,De Woerdense VVD,These ads ran without a disclaimer,100,2,yes
197435423736962,VVD,VVD Heumen,These ads ran without a disclaimer,100,1,yes
197515056951719,VVD,VVD Wassenaar,These ads ran without a disclaimer,100,1,yes
201138969999107,VVD,VVD Roosendaal,These ads ran without a disclaimer,100,6,yes
204112443050641,VVD,VVD Purmerend,These ads ran without a disclaimer,100,2,yes
204113719762337,VVD,VVD De Fryske Marren,Marc Van Niekerk Thie,100,8,no
215048268616589,VVD,VVD Raalte,VVD Raalte,100,10,no
215048268616589,VVD,VVD Raalte,VVD Raalte,100,2,no
215048268616589,VVD,VVD Raalte,These ads ran without a disclaimer,100,1,yes
218454524993606,VVD,VVD Apeldoorn,Pamela Wiering,100,5,no
222078441181157,VVD,VVD Almelo,These ads ran without a disclaimer,100,4,yes
225044264301061,VVD,VVD Nijmegen,VVD Nijmegen,100,4,no
226011184205452,VVD,VVD Hoorn,De Hoornse VVD,100,15,no
226011184205452,VVD,VVD Hoorn,These ads ran without a disclaimer,100,5,yes
233207220184530,VVD,VVD Montfoort,Volkspartij voor Vrijheid en Democratie,100,6,no
233207220184530,VVD,VVD Montfoort,These ads ran without a disclaimer,100,1,yes
233854086775969,VVD,De Nederweerter VVD,De Nederweerter VVD,100,11,no
233854086775969,VVD,De Nederweerter VVD,These ads ran without a disclaimer,100,8,yes
238370166527350,VVD,VVD Westfriesland,These ads ran without a disclaimer,100,2,yes
238437236319251,VVD,VVD Assen,VVD Assen,100,1,no
240487486029252,VVD,VVD Haarlemmermeer,VVD Haarlemmermeer,100,2,no
243926369062604,VVD,VVD Utrechtse Heuvelrug,These ads ran without a disclaimer,100,1,yes
244357102562650,VVD,VVD Opsterland,These ads ran without a disclaimer,100,1,yes
246449775514598,VVD,VVD Leusden,Patrick Kiel,100,2,no
248861831896013,VVD,De Weerter VVD,Weerter VVD,100,2,no
248861831896013,VVD,De Weerter VVD,These ads ran without a disclaimer,100,1,yes
254628621255389,VVD,VVD Veenendaal,Ruben Schoeman,100,5,no
254680748075982,VVD,VVD Culemborg,VVD Culemborg,100,4,no
254680748075982,VVD,VVD Culemborg,These ads ran without a disclaimer,100,4,yes
257508240969596,VVD,De Oldenzaalse VVD,VVD Oldenzaal,100,19,no
261116077361193,VVD,VVD Dijk en Waard,These ads ran without a disclaimer,100,7,yes
272230419490546,VVD,VVD Tilburg,These ads ran without a disclaimer,100,4,yes
276491789134449,VVD,VVD Oldambt,Mandy Meertens,100,1,no
286480434837730,VVD,VVD Noord-Holland,Ron Mazer,100,5,no
286480434837730,VVD,VVD Noord-Holland,These ads ran without a disclaimer,100,4,yes
305121659514613,VVD,VVD Lingewaard,These ads ran without a disclaimer,100,7,yes
318840268197219,VVD,VVD Soest/Soesterberg,These ads ran without a disclaimer,100,2,yes
319563324738156,VVD,VVD Dronten,VVD Dronten,100,6,no
